"user_id (S)","datetime (S)","bot_id (S)","bot_response (S)","user_message (S)"
"55d0761e34e9060012e5782a","2020-01-20T07:15:56.522Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"55d0761e34e9060012e5782a","2020-01-20T07:16:21.863Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately 300k"
"55d0761e34e9060012e5782a","2020-01-20T07:16:46.787Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working currently"
"55d0761e34e9060012e5782a","2020-01-20T07:17:22.545Z","C01","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C01","alright so how do we get started?"
"56bb6812bf2129000b53ce26","2020-01-22T10:44:50.578Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"56bb6812bf2129000b53ce26","2020-01-22T10:45:05.405Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately 300k"
"56bb6812bf2129000b53ce26","2020-01-22T10:45:16.360Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently"
"56bb6812bf2129000b53ce26","2020-01-22T10:45:29.078Z","C03","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C03","alright, so how do we get started?"
"57f73fdb8079d200017d7af6","2020-01-20T07:10:46.540Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"57f73fdb8079d200017d7af6","2020-01-20T07:11:06.344Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately 300k"
"57f73fdb8079d200017d7af6","2020-01-20T07:11:20.173Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working currently"
